cv_score,project_score,skill_match_score,progress_score,missing_skills_count,certificates_count,courses_completed,target_score
71,25,52,12,4,6,3,34.75
89,72,63,94,6,5,9,67.0
65,43,16,68,0,7,4,49.75
43,94,72,37,4,2,6,55.7
83,62,40,28,3,8,7,52.1
47,30,59,50,6,2,0,31.2
42,42,72,48,4,8,4,48.5
30,14,95,25,3,7,6,44.1
84,40,60,61,2,1,2,53.8
73,41,20,42,1,1,7,41.05
43,54,90,69,5,3,6,55.8
27,35,91,39,4,1,8,44.05
34,49,79,61,6,7,4,47.55
57,70,68,100,3,2,8,67.4
52,53,64,19,3,3,9,46.05
95,20,29,91,6,2,5,40.0
92,27,29,96,4,2,1,45.15
32,73,36,76,6,3,0,38.05
54,17,77,87,2,0,10,55.55
64,85,72,68,0,7,5,77.35
59,78,81,52,6,2,4,54.6
61,69,76,84,2,0,2,65.05
79,92,27,30,3,7,6,54.0
52,20,47,80,2,1,3,42.8
58,50,82,60,3,8,3,61.1
94,47,27,53,6,7,12,45.85
62,75,33,62,6,1,1,39.75
55,53,73,99,2,8,12,73.35
45,38,67,53,6,3,11,42.1
76,23,60,65,0,4,12,61.15
42,13,88,71,3,5,2,49.75
50,74,51,60,0,4,0,59.0
84,24,78,30,1,5,11,59.2
34,58,73,74,3,0,0,50.5
24,41,88,96,3,7,4,60.75
85,68,89,64,0,3,6,78.9
31,88,22,82,1,6,9,58.0
35,72,71,67,3,5,5,58.7
85,23,75,64,6,1,2,44.85
75,94,46,44,4,6,8,59.9
22,17,68,18,1,4,2,34.35
50,93,95,48,2,2,3,69.45
68,23,68,85,2,6,7,60.05
47,18,95,17,6,2,12,38.4
20,66,28,66,5,0,5,32.1
39,82,79,31,5,8,11,57.6
48,39,62,64,2,0,9,50.25
36,38,89,36,0,2,0,52.2
30,37,28,33,1,6,10,37.55
53,18,16,58,1,8,3,36.9
72,24,19,52,6,2,3,24.6
47,83,29,29,3,3,0,39.55
76,24,62,40,0,6,1,53.1
61,92,32,46,1,6,0,56.3
71,20,86,85,4,6,6,59.8
89,26,77,82,2,3,2,62.2
89,86,22,13,6,1,8,38.3
46,32,93,80,1,8,9,69.5
84,76,70,96,3,7,2,75.1
78,34,37,100,5,8,9,53.6
27,14,49,71,1,4,0,38.5
65,43,47,30,2,0,5,41.35
77,55,25,33,4,5,1,37.75
89,24,90,29,6,6,4,48.4
71,78,74,99,4,1,8,70.5
78,11,37,83,4,6,11,46.35
75,80,30,50,1,2,7,56.6
86,80,63,38,5,6,3,57.5
38,28,74,67,4,0,8,44.2
27,60,79,36,4,8,2,48.7
72,37,67,67,3,1,6,53.45
36,29,65,81,6,6,10,44.95
55,81,59,31,1,5,2,57.65
79,70,80,53,0,5,2,72.9
93,17,90,55,0,1,8,65.65
54,33,67,35,5,0,1,34.15
33,79,74,18,3,3,4,49.05
44,50,39,96,4,4,4,47.4
32,25,15,95,1,5,7,41.15
33,84,42,50,1,7,9,57.8
38,12,42,15,0,1,8,31.0
85,28,32,71,1,0,8,49.3
81,52,69,44,4,4,2,52.9
72,42,68,36,6,7,8,47.1
94,73,82,71,0,7,10,86.45
78,18,63,84,5,1,0,44.1
85,28,24,22,1,4,7,39.8
27,25,85,55,0,7,11,59.25
84,25,81,48,2,5,2,56.95
46,26,56,49,5,3,12,38.2
56,95,46,69,1,6,7,68.35
27,11,64,10,3,7,1,27.95
71,31,40,88,2,8,6,55.95
67,34,63,91,2,7,3,61.1
86,89,93,92,5,3,3,77.15
42,53,15,57,0,0,1,38.05
79,54,71,49,3,5,2,57.9
83,66,19,75,5,2,3,44.4
56,47,80,57,4,6,0,53.15
82,59,64,79,6,8,7,61.05
60,89,39,39,0,0,8,57.75
74,67,52,99,3,3,2,62.85
33,27,18,44,0,6,12,38.35
71,75,56,69,4,1,6,57.35
55,13,92,60,1,6,12,62.15
32,80,22,25,5,6,1,30.8
78,28,91,85,6,6,8,60.7
53,54,41,42,0,8,10,56.2
88,63,50,12,5,7,6,46.85
89,34,29,68,2,1,9,48.9
73,62,46,27,3,1,4,44.6
90,31,54,16,4,1,1,36.45
61,20,28,81,5,7,7,38.4
41,94,69,71,0,8,12,79.0
93,76,89,91,4,3,5,77.4
90,34,16,93,0,4,0,53.1
95,17,87,23,1,8,5,60.35
36,35,95,53,6,6,3,46.35
35,94,67,75,5,2,11,60.2
68,18,67,68,1,0,4,51.3
46,45,37,43,6,6,10,34.95
52,22,75,15,0,1,3,43.7
31,79,15,25,2,5,2,35.45
47,90,18,16,4,0,4,32.5
72,78,47,60,4,3,0,52.4
31,92,48,15,6,7,11,42.7
31,21,95,93,4,4,0,51.75
92,74,28,31,1,1,4,51.8
57,88,22,29,3,3,0,40.7
91,90,94,49,2,0,5,76.2
20,54,43,27,3,1,7,32.6
88,94,72,31,2,1,2,65.7
84,24,57,71,6,1,1,40.4
88,85,43,59,6,6,7,56.85
30,39,18,75,5,8,2,31.05
83,41,60,99,5,3,6,57.55
75,72,29,94,0,1,9,65.8
74,24,82,55,4,6,5,53.7
51,58,88,58,1,3,7,66.1
70,13,67,14,6,7,9,35.25
77,31,90,63,3,8,9,66.15
65,53,30,81,6,3,10,43.85
59,35,49,49,5,6,3,38.85
