conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a,solve technical problems,released,skill/competence,cross-sector,resolve technical issues | diagnose technical problems,"Identify technical problems when operating devices and using digital environments, and solve them (from trouble-shooting to solving more complex problems).",http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/a628d2d1-f40a-4c37-a357-2801726f2996 | http://data.europa.eu/esco/skill/0b9968af-72de-470a-98e1-2d19577443fb,problem-solving with digital tools | identify problems | resolving computer problems
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/16a00c69-9c74-4c37-96d7-6301d285e5ce,use e-services,released,skill/competence,cross-sector,use online payment solutions | make use of e-services | use electronic services | engage in citizenship through digital technologies | able to use e-services | apply e-services | utilise e-services,Participate in society through the use of public and private digital services. Seek opportunities for self-empowerment and for participatory citizenship through appropriate digital technologies.,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,digital communication and collaboration | using digital tools for collaboration and productivity
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1a4cc54f-1e53-442b-a6d2-1682dc8ef8f9,creatively use digital technologies,released,skill/competence,cross-sector,use digital technologies for cognitive tasks | use digital technologies for process innovation | use digital technologies for product innovation | use digital technologies to resolve conceptual problems | use digital technologies for problem-solving in digital environments,Use digital tools and technologies to create knowledge and to innovate processes and products. Engage individually and collectively in cognitive processing to understand and resolve conceptual problems and problem situations in digital environments.,http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,problem-solving with digital tools | using digital tools for collaboration and productivity
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1d6c7de4-350e-4868-a47b-333b4b0d9650,"evaluate data, information and digital content",released,skill/competence,cross-sector,evaluate digital content | evaluate digital data,"Analyse, compare and critically evaluate the credibility and reliability of sources of data, information and digital content. Analyse, interpret and critically evaluate the data, information and digital content.",http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a | http://data.europa.eu/esco/skill/1f2950c0-ef1e-44b4-9a55-125ccd7b78af,digital data processing | analysing and evaluating information and data
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,computer programming,released,knowledge,cross-sector,GCC | Ada | ALGOL | Visual Basic .NET | Visual Basic | HyperTalk | AppleScript | Ceylon | LabVIEW | Euphoria | Subversion | OCaml | PL/I | MSVC++ | Dylan | AspectJ | Korn-shell | STL | Io | Hack | Turing | Object Pascal | Curl | DIBOL | cT | KnockoutJS | bash | Seed7 | Emacs Lisp | OpenCV | Rebol | Lua | BCPL | ActionScript | C shell | AWK | INTERCAL | COMAL | PowerShell | occam | Fantom | Caml | Z shell | Tcl | Squirrel-script | IDL | Gosu | Fortran | X10 | AngularJS | REXX | BizTalk | ColdFusion | PostScript | TACL,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms (e.g. object oriented programming, functional programming) and of programming languages.",http://data.europa.eu/esco/isced-f/0613,software and applications development and analysis
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/238343b1-7b51-42b3-a9ed-cf24d3a236e7,identify digital competence gaps,released,skill/competence,cross-sector,identify areas for improvement in digital skills,Understand where one’s own digital competence needs to be improved or updated. Be able to support others with their digital competence development. Seek opportunities for self-development and keep up-to-date with the digital evolution.,http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/54f7432d-a8b6-4ed4-a50e-9ec882320595,"problem-solving with digital tools | monitoring, inspecting and testing"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b34a99f-9813-4c91-9509-b6b9b8c3132e,collaborate through digital technologies,released,skill/competence,cross-sector,use VoIP conference calling | use concurrent file editing | use online meeting tools | use online tools to collaborate | make use of online tools to collaborate | utilise online tools to collaborate | able to use online tools to collaborate | apply online tools to collaborate | using online tools to collaborate,"Use digital tools and technologies for collaborative processes, and for co-construction and co-creation of resources and knowledge.",http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,digital communication and collaboration | using digital tools for collaboration and productivity
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33a82b83-c838-4889-ae62-fae1317481eb,protect personal data and privacy,released,skill/competence,cross-sector,protect online privacy and identity | review online privacy settings | take action to ensure online privacy | safeguard online identity and privacy | protect digital privacy | protect digital identity | safeguarding online privacy and identity | safeguard online privacy and identity | keep online privacy and identity secure | defend online privacy and identity | safeguard online privacy and identities,Protect personal data and privacy in digital environments. Understand how to use and share personally identifiable information while being able to protect oneself and others from damages. Understand that digital services use a “Privacy policy” to inform how personal data is used.,http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/2b6e15f5-dfa0-4e7c-9687-5665b07e56a4,ICT safety | protecting privacy and personal data
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/40001d93-8937-4859-89d5-2dca53290ff4,share through digital technologies,released,skill/competence,cross-sector,share data through appropriate digital technologies | share digital content through appropriate digital technologies | act as intermediary in digital technology,"Share data, information and digital content with others through appropriate digital technologies. Act as an intermediary, know about referencing and attribution practices.",http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,digital communication and collaboration | using digital tools for collaboration and productivity
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2,ICT safety,released,,,ICT well-being maintenance | ICT welfare maintenance | ICT protection | information and communication technologies safety | ICT security | information and communication technology safety,"Personal protection, data protection, digital identity protection, security measures, safe and sustainable use.",http://data.europa.eu/esco/skill/185c56ee-098f-46a1-af87-56337085da6f,protecting ict devices
