conceptType,conceptUri,code,preferredLabel,greenShare
ISCO level 3,http://data.europa.eu/esco/isco/C011,011,Commissioned armed forces officers,0.00575396825396825
ISCO level 4,http://data.europa.eu/esco/isco/C0110,0110,Commissioned armed forces officers,0.00575396825396825
Occupation,http://data.europa.eu/esco/occupation/f2cc5978-e45c-4f28-b859-7f89221b0505,0110.1,air force officer,0.0
Occupation,http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d,0110.2,armed forces officer,0.0
Occupation,http://data.europa.eu/esco/occupation/9bf4c8ea-e814-4772-ae31-0f29672dc497,0110.3,army captain,0.0333333333333333
Occupation,http://data.europa.eu/esco/occupation/c6e5e0e7-fa99-4f71-9fc1-9889d85282a5,0110.4,army general,0.0
Occupation,http://data.europa.eu/esco/occupation/e4c915ff-6c9c-4fa9-a8fb-09d0c67e30d4,0110.5,army major,0.0
Occupation,http://data.europa.eu/esco/occupation/7696b15a-c52e-4ac5-b38d-9eeb010c5fa3,0110.6,artillery officer,0.0
Occupation,http://data.europa.eu/esco/occupation/bbd1fe06-1b55-4937-9317-fc162311ab38,0110.7,brigadier,0.0
Occupation,http://data.europa.eu/esco/occupation/b864c9a3-ef6e-46a0-a40c-66188f74dfa7,0110.8,colonel,0.0
Occupation,http://data.europa.eu/esco/occupation/0b1d8dcb-d941-4d79-99bf-fc10c1806c43,0110.9,fleet commander,0.0357142857142857
Occupation,http://data.europa.eu/esco/occupation/b223f402-0318-4e27-8691-df6e7f7295d2,0110.10,lieutenant,0.0
Occupation,http://data.europa.eu/esco/occupation/262f21a3-ae78-46f4-a5f9-5a1f502caa90,0110.11,navy officer,0.0
Occupation,http://data.europa.eu/esco/occupation/e44b2459-af5e-492d-9c57-d9c2e62944e7,0110.12,squadron leader,0.0
ISCO level 3,http://data.europa.eu/esco/isco/C021,021,Non-commissioned armed forces officers,0.0
ISCO level 4,http://data.europa.eu/esco/isco/C0210,0210,Non-commissioned armed forces officers,0.0
Occupation,http://data.europa.eu/esco/occupation/4a3f40a8-0587-494c-b8d3-7098b8c5992f,0210.1,army corporal,0.0
Occupation,http://data.europa.eu/esco/occupation/cb3b2662-774a-4e6f-841e-f120244d7031,0210.2,sergeant,0.0
Occupation,http://data.europa.eu/esco/occupation/1de91afd-9da2-47ab-a7e7-19bf931709a4,0210.3,special forces officer,0.0
Occupation,http://data.europa.eu/esco/occupation/86c892cf-09a3-44c8-b9d1-814d93dbcbb4,0210.4,warfare specialist,0.0
ISCO level 3,http://data.europa.eu/esco/isco/C031,031,"Armed forces occupations, other ranks",0.001666666666666666
ISCO level 4,http://data.europa.eu/esco/isco/C0310,0310,"Armed forces occupations, other ranks",0.001666666666666666
Occupation,http://data.europa.eu/esco/occupation/c94dc5b2-6b23-4915-8de5-a4e6ae86d802,0310.1,air force pilot,0.0
Occupation,http://data.europa.eu/esco/occupation/fdc8adfb-1807-4146-98ae-3a26fbe19996,0310.2,bomb disposal technician,0.0
Occupation,http://data.europa.eu/esco/occupation/bd5a2f44-fc06-45fd-909b-3a4001c8b8a3,0310.3,infantry soldier,0.0
Occupation,http://data.europa.eu/esco/occupation/35e67944-231e-4bc9-8c69-560f203167ff,0310.4,intelligence communications interceptor,0.0
Occupation,http://data.europa.eu/esco/occupation/555235ce-8c45-409b-a6c9-83e69c2d2bce,0310.5,military engineer,0.00833333333333333
ISCO level 3,http://data.europa.eu/esco/isco/C111,111,Legislators and senior officials,0.004201680672268906
Occupation,http://data.europa.eu/esco/occupation/7226c10f-701b-4711-8843-140aace12c6f,1111.1,city councillor,0.0
Occupation,http://data.europa.eu/esco/occupation/404a50e9-61ce-448d-a695-bbfc697a0727,1111.2,government minister,0.0
Occupation,http://data.europa.eu/esco/occupation/d63789ac-74b5-40e3-b890-685513c38e12,1111.3,governor,0.0
Occupation,http://data.europa.eu/esco/occupation/6cee3765-2b3b-48b0-af2b-1eb512d071fd,1111.4,mayor,0.0
Occupation,http://data.europa.eu/esco/occupation/5bca96fd-4203-400b-be58-9e9b50bc98da,1111.5,member of parliament,0.0
Occupation,http://data.europa.eu/esco/occupation/0ee67d5e-8de9-48f0-97c5-ba23d486b1e9,1111.6,secretary of state,0.0
Occupation,http://data.europa.eu/esco/occupation/73c3f018-71ce-4dc1-abdd-14cea7873717,1111.7,senator,0.0
ISCO level 4,http://data.europa.eu/esco/isco/C1111,1111,Legislators,0.0
Occupation,http://data.europa.eu/esco/occupation/9e4269d5-e10e-4f49-ac99-65c833f933a2,1112.1,central bank governor,0.0
