conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123,train staff to reduce food waste,released,skill/competence,sector-specific,teach students food waste reduction practices | educate staff on food waste reduction | educate workers on food recycling methods | inform staff on food waste reduction practices,"Establish new trainings and staff development provisions to support staff knowledge in food waste prevention and food recycling practices. Ensure that staff understands methods of and tools for food recycling, e.g., separating waste.",http://data.europa.eu/esco/skill/6c4fa8c8-e9e1-49b5-897f-6b61fe649488,training on operational procedures
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,develop energy saving concepts,released,skill/competence,cross-sector,develop concepts for energy saving | create energy saving concepts | energy saving concepts creating | creating energy saving concepts | creating concepts for energy saving | energy saving concepts developing | create concepts for energy saving,"Use current research results and collaborate with experts to optimise or develop concepts, equipment, and production processes which require a lesser amount of energy such as new insulation practices and materials.",http://data.europa.eu/esco/skill/c2a0c52c-0b4b-4180-a918-92650ea3b458 | http://data.europa.eu/esco/skill/c23e0a2f-f04b-45bc-b0dd-20571f6b502c,think innovatively | developing operational policies and procedures
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,install heat pump,released,skill/competence,cross-sector,installation of heat pumps | commissioning heat pumps | heat pump installing | heat pump commissioning | installation of heat pump | commissioning heat pump | commissioning of heat pumps | heat pump installation | commissioning of heat pump | commission heat pumps | commission heat pump,"Install heat pumps, which use the physical properties of substances called refrigerants to extract heat from an environment and release it to a warmer environment, counter to spontaneous heat flow. Create the necessary openings and install the indoors and outdoors parts of the heat pump. Connect electricity and any ducts, and configure the heat pump.",http://data.europa.eu/esco/skill/b85caa4a-f04b-4331-80df-11404fd71225,"installing heating, ventilation and air conditioning equipment"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0082c13b-5866-4542-bc4f-722a4ae9530e,design biomass installations,released,skill/competence,sector-specific,design biomass energy system | design biomass installation | determine construction boundaries for biomass energy systems | design biomass system | calculate capacity indicators for biomass installations,"Design the biomass energy system. Determine construction boundaries such as needed space and weight. Calculate indicators such as capacity, flow, and temperatures. Make detailed descriptions and drawings of the design.",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,designing electrical or electronic systems or equipment
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/012d6406-016a-4790-aeb8-853e61058517,maintain sorting equipment,released,skill/competence,sector-specific,sorting equipment maintaining | repairing sorting equipment | repair sorting equipment | maintaining of sorting equipment | sorting equipment repairing,Perform routine maintenance as well as minor repairs on the equipment used for sorting waste and recyclable materials.,http://data.europa.eu/esco/skill/5033c2fb-ec55-4b8e-b0a4-9379593f1e1c | http://data.europa.eu/esco/skill/6d0cad66-82dd-4854-a03a-68232942c68d,maintain equipment | installing wooden and metal components
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,adopt ways to foster biodiversity and animal welfare,released,skill/competence,transversal,concretely support biodiversity and animal welfare | implement environmental choices in your own eating habit | adopt a sustainable eating habit | take sustainability issues into account in consumption choices | take animal welfare into account when buying food products | promoting organic and biological food consumption,"Engage in behaviours that help maintaining stable ecosystems and combatting mass extinction, for example by making conscious dietary choices that support organic food production and animal welfare.",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,applying environmental skills and competences
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01895f13-1989-4756-80d6-9b9ee19ddb32,perform a feasibility study for building management systems,released,skill/competence,sector-specific,conduct a viability analysis for facility management systems | carry out bms feasibility study | execute a feasibility investigation for building management systems | undertake an assessment of building management system feasibility,"Perform the evaluation and assessment of the potential of a building management system. Realise a standardised study to determine the energy saving contribution, costs and restrictions, and conduct research to support the process of decision making.",http://data.europa.eu/esco/skill/d74df140-eb69-43e2-bac9-1cafc824d702 | http://data.europa.eu/esco/skill/ec528c47-65f4-4187-9dc1-5a8889f84a06,execute feasibility study | analysing business operations
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/023faef3-0633-436d-8b91-389c45c1421c,contamination exposure regulations,released,knowledge,cross-sector,regulations concerning contamination exposure | regulations about contaminated materials | contamination risks while handling battery materials | regulations regarding contamination exposure | regulations concerning contaminated materials | regulations regarding contaminated materials | regulations about contamination exposure,"The regulations concerning exposure to contaminated materials or a hazardous environment which regulate the actions surrounding risk assessment, minimisation of further exposure, quarantine, and treatment of the exposed persons.",http://data.europa.eu/esco/isced-f/1021,community sanitation
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02619401-8e21-46e5-8f19-204747fd755d,remove contaminated materials,released,skill/competence,sector-specific,treat contaminated materials | contaminated materials treating | removing contaminated materials | dispose of contaminated materials | contaminated materials removing | contaminated materials disposing,Remove materials and equipment which are contaminated with hazardous substances in order to protect the surroundings from further contamination and to treat or dispose of the contaminated materials.,http://data.europa.eu/esco/skill/3727f0d3-da1b-4ce3-a9cb-efe6130fe41f | http://data.europa.eu/esco/skill/8bde58aa-9d5b-422b-801c-ff9186dd648e,assess contamination | handling and disposing of hazardous materials
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03d93bf5-3c09-489c-a0d7-a895b068041a,rescue animals,released,skill/competence,sector-specific,ensure animals in threatening situations are rescued | rescue animals from threatening situations | carry out animal rescues to protect animal welfare | extricate animals from dangerous situations | extricate animals from threatening situation | recover animals from threatening situations | conduct animal rescue activities | perform animal rescues | remove animals from situations that threaten their welfare | recover animals from dangerous situations | rescue animals from dangerous situations,Rescue animals found in situations which present an immediate or potential threat to their welfare.'.,http://data.europa.eu/esco/skill/e9eb9c23-c1f4-4ce9-83c9-2f6a211cc536,maintaining and enforcing physical security
