conceptType,conceptUri,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
Occupation,http://data.europa.eu/esco/occupation/01ffb917-98dc-48c1-91ad-93c4104e791d,biomedical engineer,released,biomedical technology engineering specialist | biomedical technology engineering consultant | BME consultant | BME specialist | BME expert | biomedical technology engineering adviser | biomedical technology engineer | BME adviser | bio-medical engineer | biomedical engineering specialist | biomedical engineering consultant | biomedical engineering expert | biomedical engineering adviser | biomedical technology engineering expert,"Biomedical engineers combine knowledge of engineering principles and biological findings for the development of medical treatments, medicaments, and general healthcare purposes. They can develop solutions ranging from the improvement of the components in conventional medicaments up to implants developments, and tissue treatment.",http://data.europa.eu/esco/occupation/f9433fdb-dde1-46cf-9e91-b49d243946a7,bioengineer
Occupation,http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,criminologist,released,criminology scientist | criminology research scientist | criminology studies scientist | criminology studies research scientist | criminology researcher | criminology studies researcher | criminologists | criminology studies scholar | criminology science researcher | criminology scholar,Criminologists study conditions pertaining to humans such as the social and psychological aspects that could lead them to commit criminal acts. They observe and analyse different factors ranging from behavioural conditions up to social background and environment of suspects in order to advise organisations on the prevention of crime.,http://data.europa.eu/esco/isco/C2632,"Sociologists, anthropologists and related professionals"
Occupation,http://data.europa.eu/esco/occupation/0959cd1d-f6c8-4362-939a-ad7d5f75d659,economics lecturer,released,economics professor | university lecturer in economics | lecturer in economics | senior lecturer in economics | lecturer of economics | university economics lecturer | economics lector | economics teacher | economics instructor | university economics teacher | higher education economics teacher | professor of economics | economics docent,"Economics lecturers are subject professors, assistant professors, teachers, lectures, assistant lecturers, mentors who instruct students in their own specialised field of study, economics. They develop curriculum, prepare classes (lectures, practical classes, seminars, trainings etc.), monitor learning outcomes, supervise student study path. They conduct academic research in their field of economics and present their findings at the conferences and in publications. They are involved in some university management functions.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,higher education lecturer
Occupation,http://data.europa.eu/esco/occupation/0bf5d25a-2b4d-43b5-b053-beeb210fa43a,medicine lecturer,released,medicine docent | medicine instructor | lecturer of medicine | medicine professor | university medicine lecturer | lecturer in medicine | clinical lecturer | university lecturer in medicine | clinical lecturer in medicine | instructor of medicine | professor of medicine | medicine teacher | medicine lector | lecturer in medical education | university teacher of medicine | higher education teacher of medicine,"Medicine lecturers are subject professors, teachers, or lecturers, and often doctors who instruct students who have obtained an upper secondary education diploma in their own specialised field of study, medicine, which is predominantly academic in nature. They work with their university research assistants and university teaching assistants for the preparation of lectures and of exams, for grading papers and exams, for leading laboratory practices, and for leading review and feedback sessions for the students. They also conduct academic research in their respective field of medicine, publish their findings and liaise with other university colleagues.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,higher education lecturer
Occupation,http://data.europa.eu/esco/occupation/0c7c9606-fde3-4658-8136-8fe0c9b8bd09,medical device engineer,released,medical-technical device engineer | medical device developer | medical technology engineer | orthopaedic engineer | engineer of medical instruments | medical-technical equipment engineer | engineer of medical devices | medical-technical test engineer | biomedical engineer | clinical engineer | audiology engineer | engineer of medical technology | biomedical systems engineer | biomedical systems developer | engineer in biomedical systems | medical instrument engineer,"Medical device engineers design and develop medical-technical systems, installations, and equipment such as pacemakers, MRI scanners, and X-ray machines. They monitor the whole manufacturing process from concept design to product implementation. activities undertaken include, among others, designing product improvements, developing methods and techniques to evaluate design suitability, coordinating initial production, developing test procedures, and designing manufacturing diagrams.",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,electronics engineer
Occupation,http://data.europa.eu/esco/occupation/0cd729a6-ed11-4338-ac4b-d4b924390128,historian,released,diplomatic historian | economic historian | historians | political historian | military historian | egyptologist | art historian,"Historians research, analyze, interpret, and present the past of human societies. They analyse documents, sources, and traces from the past in order to understand the past societies.",http://data.europa.eu/esco/isco/C2633,"Philosophers, historians and political scientists"
Occupation,http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,chemist,released,chemistry technician | pharmacologist | chemical engineer | toxicologist | environmental chemist | inorganic chemist | forensic chemist | chemical analyst | biochemist | production chemist | industrial chemist | research chemist | quality control chemist | chemical researcher | manufacturing chemist | quality assurance chemist | organic chemist | nuclear chemist,Chemists perform laboratory research by testing and analysing the chemical structure of substances.They translate the research results into industrial production processes which are further used in the development or improvement of products. Chemists are also testing the quality of the manufactured products and their environmental impact.,http://data.europa.eu/esco/isco/C2113,Chemists
Occupation,http://data.europa.eu/esco/occupation/10291962-c0c7-4e5b-a7ed-0762b4d9b010,pharmacologist,released,pharmacology researcher | pharmacology science researcher | pharmacology research analyst | pharmacology research scientist | pharmacology studies researcher | pharmacology studies scholar | pharmacology scholar | pharmacology scientist | pharmacology studies research analyst | pharmacology studies scientist | pharmacology studies research scientist | pharmacology studies analyst | pharmacologists | pharmacology analyst,"Pharmacologists study the manner in which drugs and medicaments interact with organisms, living systems, and their parts (i.e. cells, tissues, or organs). Their research aims at identifying substances that can be ingested by humans and that exert adequate biochemical functions for curing illnesses.",http://data.europa.eu/esco/isco/C2131,"Biologists, botanists, zoologists and related professionals"
Occupation,http://data.europa.eu/esco/occupation/116b4c55-5bd0-41e9-9227-98d7ecffeaf6,sociology lecturer,released,social science professor | sociology instructor | social science instructor | specialist lecturer in sociology | sociology docent | social science docent | university sociology lecturer | lecturer of sociology | social science lecturer | instructor in sociology | social science teacher | sociology lector | lecturer of social science | lecturer in social science | sociology teacher | social science lector | senior lecturer in sociology | higher education sociology teacher | social sciences lector | lecturer in sociology | professor of sociology | sociology professor,"Sociology lecturers are subject professors, teachers, or lecturers who instruct students who have obtained an upper secondary education diploma in their own specialised field of study, sociology, which is predominantly academic in nature. They work with their university research assistants and university teaching assistants for the preparation of lectures and of exams, grading papers and exams and leading review and feedback sessions for the students. They also conduct academic research in their field of sociology, publish their findings and liaise with other university colleagues.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,higher education lecturer
Occupation,http://data.europa.eu/esco/occupation/11a6d0f6-e692-4774-aa5f-193b67d31022,kinesiologist,released,biomechanical kinesiologist | exercise researcher | kinesiology science researcher | exercise kinesiologist | kinesiology researcher | exercise research scientist | psychomotor kinesiologist | kinesiology research scientist | exercise scientist | kinesiologists | exercise science researcher | kinesiology scientist,"Kinesiologists study and research the movement of the body; its muscles and parts. They analyse and use scientific data and methods to improve body motion, generally in humans, through an understanding of such areas as physiology, kinetics, neurology, and biology. They recognise the effects that some factors, such as body condition, have on motion and develop solutions to improve overall mechanics and mobility.",http://data.europa.eu/esco/isco/C2269,Health professionals not elsewhere classified
Occupation,http://data.europa.eu/esco/occupation/11b6390b-1e48-4903-a5df-d3e04b451a19,cosmetic chemist,released,research chemist | cosmetics formulation chemist | cosmetics formulation development chemist | skin care formulation chemist | cosmetics formulator | cosmetics development chemist | formulation development chemist | cosmetics development formulator | cosmetics formulations chemist | cosmetics research chemist,"Cosmetic chemists develop formulas in order to create and test new cosmetic products and improve existing cosmetic products such as perfumes and fragrances, lipstick, waterproof lotions and makeup, hair dye, soaps and detergents with special properties, topical medicines or health supplements.",http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,chemist
Occupation,http://data.europa.eu/esco/occupation/11d72bd6-779a-4643-9962-313833740094,environmental scientist,released,geologist | mineral technician | geological technician | soil scientist | land survey technician | mineral technologist | geological technologist | environmental engineer | regulatory compliance environmental professional | environmental scientist advisor | field scientist | environmental surveyor | environmental chemist | green infrastructure analyst | environmental impact expert | ecosystem restoration project manager | environmental researcher | environmental field scientist,"Environmental scientists identify problems and find solutions in order to minimize environmental hazards by performing analysis on samples such as air, water or soil. They advise on or develop environmental policies and aim to improve water supplies preservation and manage waste disposal sites. Environmental scientists perform environmental risk assessments and analyse the environmental impact of new solutions, construction sites or environmental changes ensuring the environmental regulations are followed.",http://data.europa.eu/esco/isco/C2133,Environmental protection professionals
Occupation,http://data.europa.eu/esco/occupation/11df8941-508c-4103-ad40-52cdf9430a59,sociologist,released,urban sociology science researcher | sociologists | rural sociology science researcher | urban sociology analyst | sociology science researcher | economic sociology research analyst | rural sociology research analyst | sociology research analyst | sociology analyst | urban sociology research scientist | economic sociology researcher | economic sociology analyst | sociology researcher | urban sociology research analyst | economic sociologist | urban sociology scholar | urban sociology scientist | sociology scientist | economic sociology science researcher | rural sociology analyst | intercultural communications adviser | rural sociology scientist | urban sociologist | rural sociologist | rural sociology scholar | economic sociology scholar | law sociologist | rural sociology research scientist | urban sociology researcher | economic sociology research scientist | family and consumer science researcher | sociology scholar | economic sociology scientist | rural sociology researcher | sociology research scientist | gerontologist,"Sociologists focus their research on explaining social behaviour and the way people have organised themselves as a society. They research and explain the way societies have evolved by describing their legal, political, and economic systems and their cultural expressions.",http://data.europa.eu/esco/isco/C2632,"Sociologists, anthropologists and related professionals"
Occupation,http://data.europa.eu/esco/occupation/1738173e-ef9c-4222-88c8-b6aa9bad3cf7,biophysicist,released,biophysics scientist | biophysics research scientist | biophysics biotechnologist | biophysics scholar | biophysics researcher | bio-physicist | biophysics research analyst | biophysics science researcher | biophysics analyst,"Biophysicists study the existing relation between living organisms and physics. They conduct research on living organisms based on the methods of physics that aim to explain the complexity of life, predict patterns, and draw conclusions about aspects of life. Biophysicists' research fields cover DNA, proteins, molecules, cells, and environments.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,biologist
Occupation,http://data.europa.eu/esco/occupation/19db5ad1-ffbf-41a0-8746-d3878f0d5dbd,media scientist,released,media science researcher | media studies scholar | media research analyst | media research scientist | media analyst | media anthropologist | media studies researcher | media researcher | media studies research scientist | media scholars | media studies scientist,"Media scientists research the role and impact that media has on the society. They observe and document the usage of different kinds of media such as newspapers, radio and TV and the response from society.",http://data.europa.eu/esco/occupation/acf69cab-8629-45c8-ae10-c8fb15f474b6,anthropologist
Occupation,http://data.europa.eu/esco/occupation/1bbaf82c-67ae-4beb-9a55-7298acf5b2af,nursing lecturer,released,university nursing instructor | lecturer in nursing science | university nursing teacher | lector in nursing science | lecturer in nursing | nursing professor | nursing instructor | university lecturer in nursing | nursing sciences lector | nursing science lector | lector in nursing | higher education nursing teacher | lecturer in nursing sciences | nursing docent | professor of nursing | senior lecturer in nursing | nurse lecturer | nursing teacher | university nursing lecturer | nursing lector | lector in nursing sciences | higher education nursing instructor,"Nursing lecturers are subject professors, teachers, or lecturers, and often doctors who instruct students who have obtained an upper secondary education diploma in their own specialised field of study, nursing, which is predominantly academic in nature. They work with their university research assistants and university teaching assistants for the preparation of lectures and of exams, for grading papers and exams, for leading laboratory practices, and for leading review and feedback sessions for the students. They also conduct academic research in their respective field of nursing, publish their findings and liaise with other university colleagues.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,higher education lecturer
Occupation,http://data.europa.eu/esco/occupation/1c862e14-80f8-4aa8-8f1c-fd2ca95b63ad,meteorologist,released,atmospheric scientist | meteorology scientist | meteorology researcher | atmospheric research scientist | meteorology analyst | atmospheric analyst | meteorology research analyst | meteorology science researcher | atmospheric science researcher | atmospheric researcher | meteorology research scientist | marine meteorologist | atmospheric research analyst,"Meteorologists study climate processes, measure and predict weather patterns and provide consultancy services to a variety of weather information users. They work out models for weather forecasting, develop instruments to collect meteorological data and compile statistics and databases.",http://data.europa.eu/esco/isco/C2112,Meteorologists
Occupation,http://data.europa.eu/esco/occupation/2026adb2-62d7-4b92-9ccb-105abdebe37d,electromagnetic engineer,released,electro magnetics engineer | electromagnetic technology engineer | electromagnetic engineering consultant | electromagnetic compatibility engineer | electromagnetic systems engineer | electro magnetic engineer | engineer in electromagnetic systems | electro-magnetic engineer | electromagnetic engineering adviser | engineer in electromagnetic systems design | electromagnetic technology engineering adviser | engineer in electromagnetic compatibility | electromagnetic engineering specialist | EMC engineer | electromagnetics engineer | electro-magnetics engineer | engineer of electromagnetic systems | electromagnetic design engineer | engineer specialist in electromagnetics | electromagnetic engineering expert | electromagnetic technology engineering specialist | electromagnetic technology engineering expert | electromagnetic technology engineering consultant,"Electromagnetic engineers design and develop electromagnetic systems, devices, and components, such as electromagnets in loudspeakers, electromagnetic locks, conducting magnets in MRI's, and magnets in electric motors.",http://data.europa.eu/esco/occupation/86ca306c-ab99-420a-9e2a-aa73c5c4de22,electrical engineer
Occupation,http://data.europa.eu/esco/occupation/203ea2ee-bbee-4aaf-83d7-2f2225f916e3,archaeologist,released,archaeology analyst | marine archaeology research analyst | excavation director | archaeologist scientist | archaeology science researcher | marine archaeology science researcher | epigraphist | marine archaeology researcher | marine archaeology research scientist | archaeology research analyst | archaeology researcher | marine archaeologist | archaeology research scientist | archaeology scientist | marine archaeology scholar | marine archaeology analyst | marine archaeology scientist | archaeology scholar,"Archaeologists research and study past civilisations and settlements through collecting and inspecting material remains. They analyse and draw conclusions on a wide array of matters such as hierarchy systems, linguistics, culture, and politics based on the study of objects, structures, fossils, relics, and artifacts left behind by these peoples. Archaeologists utilise various interdisciplinary methods such as stratigraphy, typology, 3D analysis, mathematics, and modelling.",http://data.europa.eu/esco/isco/C2632,"Sociologists, anthropologists and related professionals"
Occupation,http://data.europa.eu/esco/occupation/25829508-63f3-41c3-affc-ddbb5c077930,physiologist,released,anatomy analyst | anatomy researcher | anatomy research scientist | physiology scientist | physiology analyst | physiology research scientist | anatomist | anatomy science researcher | physiologists | physiology researcher | anatomy research analyst | anatomy scientist | physiology research analyst | physiology science researcher,"Physiologists study and exert research on the functioning of different living organisms, the parts they are composed of, and their interactions. They understand the fashion in which living systems react to factors such as diseases, physical activity, and stress, and use that information to develop methods and solutions to even out the effect that those stimuli have in living bodies.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,biologist
Occupation,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,data scientist,released,data expert | research data scientist | data research scientist | electromobility data scientist,"Data scientists find and interpret rich data sources, manage large amounts of data, merge data sources, ensure consistency of data-sets, and create visualisations to aid in understanding data. They build mathematical models using data, present and communicate data insights and findings to specialists and scientists in their team and if required, to a non-expert audience, and recommend ways to apply the data.",http://data.europa.eu/esco/isco/C2511,Systems analysts
Occupation,http://data.europa.eu/esco/occupation/30058b71-fe16-45ea-a2b8-d5461c706372,business lecturer,released,university teacher of business | commerce instructor | lecturer in business | professor of business administration | commerce lector | commerce professor | higher education teacher of business | business lector | instructor of business | university lecturer in business | lecturer of business | business docent | business teacher | commerce teacher | professor of business | university business lecturer | lecturer in commerce | lecturer in business administration | senior lecturer in business | business professor | commerce docent | commerce lecturer | business instructor,"Business lecturers are subject professors, teachers, or lecturers who instruct students who have obtained an upper secondary education diploma in their own specialised field of study, business, which is predominantly academic in nature. They work with their university research assistants and university teaching assistants for the preparation of lectures and of exams, grading papers and exams and leading review and feedback sessions for the students. They also conduct academic research in their field of business, publish their findings and liaise with other university colleagues.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,higher education lecturer
Occupation,http://data.europa.eu/esco/occupation/306e9867-cf55-446f-88c6-8adad5369f8c,earth science lecturer,released,geography lecturer | geoscience professor | geology lecturer | lecturer of geoscience | lecturer in geoscience | university earth sciences lecturer | lecturer in earth science | geoscience docent | geoscience teacher | earth science professor | university lecturer in earth sciences | professor of earth science | earth science instructor | higher education earth sciences teacher | senior lecturer in earth sciences | professor of geology | geography professor | earth science teacher | earth science docent | geoscience lecturer | specialist lecturer in earth sciences | geoscience lector | earth sciences professor | geoscience instructor | professor of geography | lecturer in earth sciences | lecturer of earth sciences | geology professor | instructor in earth sciences | earth science lector,"Earth science lecturers are subject professors, teachers, or lecturers who instruct students who have obtained an upper secondary education diploma in their own specialised field of study, earth science, which is predominantly academic in nature. They work with their university research assistants and university teaching assistants in preparation of lectures and of exams, grading papers and exams and leading review and feedback sessions for the students. They also conduct academic research in their field of earth science, publish their findings and liaise with other university colleagues.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,higher education lecturer
