conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f,draft scientific or academic papers and technical documentation,released,skill/competence,cross-sector,create technical documentation | create technical documentation and academic writings | write technical documentation | write scientific and academic papers,"Draft and edit scientific, academic or technical texts on different subjects.",http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe,technical or academic writing
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08b04e53-ed25-41a2-9f90-0b9cd939ba3d,manage research data,released,skill/competence,cross-sector,oversee scientific data | handle research data | administer research data,Produce and analyse scientific data originating from qualitative and quantitative research methods. Store and maintain the data in research databases. Support the re-use of scientific data and be familiar with open data management principles.,http://data.europa.eu/esco/skill/32c017fd-28ab-4051-bf68-74de952c2f77,managing information
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20a8fe89-d4eb-4698-8521-8881c13377e0,interact professionally in research and professional environments,released,skill/competence,cross-sector,give feedback in a professional setting | interact appropriately in research and professional spheres | receive feedback in a professional setting | interact considerately in research and professional spheres | show collegiality in research and professional environments,"Show consideration to others as well as collegiality. Listen, give and receive feedback and respond perceptively to others, also involving staff supervision and leadership in a professional setting.",http://data.europa.eu/esco/skill/91b0b918-942e-4661-b88c-70b9396529e5,working with others
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b1e2927-3542-48da-9063-02925e7562c1,disseminate results to the scientific community,released,skill/competence,cross-sector,disseminate scientific results | disclose scientific results | disclose findings of scientific research | disseminate findings of scientific research | disseminate results of scientific research,"Publicly disclose scientific results by any appropriate means, including conferences, workshops, colloquia and scientific publications.",http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe,technical or academic writing
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b34764d-637c-48f5-aa70-31e15c965db6,operate open source software,released,skill/competence,sector-specific,know open-source software licensing schemes | know open-source software coding practices | know open-source licensing schemes | know open-source coding practices | manage open-source software,"Operate Open Source software, knowing the main Open Source models, licensing schemes, and the coding practices commonly adopted in the production of Open Source software.",http://data.europa.eu/esco/skill/a8c3186b-c791-4d57-8f4f-4d12c7a5c6a7,programming computer systems
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2de4572a-4724-4f76-afc2-72a568a264ac,speak different languages,released,skill/competence,cross-sector,speak foreign languages | communicate in multiple languages | speak a different language,Master foreign languages to be able to communicate in one or more foreign languages.,http://data.europa.eu/esco/skill/03961960-e729-4768-ab0a-49886132f17a,using foreign languages
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/39f67488-cfd3-4370-8d7e-da98163102d9,evaluate research activities,released,skill/competence,cross-sector,perform scholarly peer review | assess research results | assess research methodology,"Review proposals, progress, impact and outcomes of peer researchers, including through open peer review.",http://data.europa.eu/esco/skill/23cfb269-eec1-4011-8e57-c86203ce9fd7,giving feedback
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db,demonstrate disciplinary expertise,released,skill/competence,cross-sector,exhibit academic proficiency | demonstrate complex understanding of a research area | demonstrate deep knowledge of a research area | demonstrate deep knowledge of a specific research area | demonstrate complex understanding of a specific research area,"Demonstrate deep knowledge and complex understanding of a specific research area, including responsible research, research ethics and scientific integrity principles, privacy and GDPR requirements, related to research activities within a specific discipline.",http://data.europa.eu/esco/skill/8fde007e-ea4c-48c2-84c5-752834acd31d,"conducting studies, investigations and examinations"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,think analytically,released,skill/competence,transversal,think in an analytical way | apply logical thinking | use logical reasoning | apply structured thinking | think logically | develop an analytical approach | analytical thinking | apply structural analysis,"Produce thoughts using logic and reasoning in order to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems.",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"processing information, ideas and concepts"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4cd85845-f31c-4306-994d-e12d45114d83,teach in academic or vocational contexts,released,skill/competence,cross-sector,instruct in educational or vocational settings | provide instruction in academic or vocational domains | teach students in academic or vocational contexts,"Instruct students in the theory and practice of academic or vocational subjects, transferring the content of own and others' research activities.",http://data.europa.eu/esco/skill/335be43a-3267-400e-b5cb-c9e234dc7544,teaching academic or vocational subjects
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4d39b27a-b34f-4c89-8d46-df844d42f728,increase the impact of science on policy and society,released,skill/competence,cross-sector,influence decision making based on scientific evidence | enhance the impact of science influence on policy and society | boost the contribution of science to shaping policies and society | enhance the influence of science on governance and communities,Influence evidence-informed policy and decision making by providing scientific input to and maintaining professional relationships with policymakers and other stakeholders.,http://data.europa.eu/esco/skill/cdb2aecd-9dca-48fd-8d56-f0aace3ab5a9 | http://data.europa.eu/esco/skill/f914df1a-c9fd-47ab-b1ec-bc7c6f572640,presenting general information | influence policy makers on social service issues
